AG,Aargau,Argovie,Argovia,Aargau
AI,Appenzell I. Rh.,Appenzell Rh.-Int.,Appenzello Interno,Appenzell I. Rh.
AR,Appenzell A. Rh.,Appenzell Rh.-Ext.,Appenzello Esterno,Appenzell A. Rh.
BE,Bern,Berne,Berna,Bern
BL,Basel-Landschaft,Bâle-Campagne,Basilea Campagna,Basel-Landschaft
BS,Basel-Stadt,Bâle-Ville,Basilea Città,Basel-Stadt
FR,Freiburg,Fribourg,Friburgo,Fribourg
GE,Genf,Genève,Ginevra,Geneva
GL,Glarus,Glaris,Glarona,Glarus
GR,Graubünden,Grisons,Grigioni,Graubünden
JU,Jura,Jura,Giura,Jura
LU,Luzern,Lucerne,Lucerna,Lucerne
NE,Neuenburg,Neuchâtel,Neuchâtel,Neuchâtel
NW,Nidwalden,Nidwald,Nidvaldo,Nidwalden
OW,Obwalden,Obwald,Obvaldo,Obwalden
SG,St. Gallen,Saint-Gall,San Gallo,St. Gallen
SH,Schaffhausen,Schaffhouse,Sciaffusa,Schaffhausen
SO,Solothurn,Soleure,Soletta,Solothurn
SZ,Schwyz,Schwytz,Svitto,Schwyz
TG,Thurgau,Thurgovie,Turgovia,Thurgau
TI,Tessin,Tessin,Ticino,Ticino
UR,Uri,Uri,Uri,Uri
VD,Waadt,Vaud,Vaud,Vaud
VS,Wallis,Valais,Vallese,Valais
ZG,Zug,Zoug,Zugo,Zug
ZH,Zürich,Zurich,Zurigo,Zurich
