;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZH;ZG
2015;490185;13379;41947;724953;187537;85191;227585;299808;30719;152688;55125;284459;120941;34476;30612;362744;60317;198328;126689;221037;301627;26497;512471;274284;925409;96634
2014;483150;12948;41122;714853;185406;86015;222000;296380;30167;150339;54347;278102;119378;33962;30056;357911;59430;195310;124008;215342;296640;26019;503127;268093;906010;93969
2013;473792;12731;40323;704213;183349;85609;216907;294831;29642;148082;54170;271895;119146;33446;29505;352182;58202;192364;121381;210142;291517;25704;494475;263102;895564;91368
2012;463958;12533;39530;693057;182575;86232;211764;294988;29086;146134;53092;266426;117481;32698;28998;345435;57131;189506;119334;205349;286606;25271;486179;258557;884203;89200
2011;452282;12295;38536;681005;180295;85039;204722;291594;28362;143081;52184;259479;115197;32141;28179;336587;55888;185087;116093;198847;281173;24637;474271;250662;865922;86575
2010;440480;11968;37612;670515;177631;84209;198321;287721;27578;139977;50991;252567;112917;31520;27458;327467;54389;181565;112971;192702;275029;24112;463186;243166;849622;84109
2009;428203;11903;38963;658351;183264;82159;199913;284361;26850;140917;50159;245432;111249;30852;26563;317882;52907;177156;109235;195878;270337;23531;451779;237471;835731;81920
2008;424718;11216;37724;681496;174910;83478;189999;285297;25535;137001;50144;243692;110628;29674;25488;309787;53609;176520;107815;185569;266785;22393;456545;230172;843134;81484
2007;417742;11075;36704;671861;171608;82424;183691;288153;25322;132212;49531;239251;109716;29455;25156;307464;52484;174923;105268;178642;263520;22269;448967;227549;851534;79458
2006;409764;10823;36205;667854;171392;82395;180735;288737;24849;131411;48513;233776;108584;28765;24488;304402;51497;172337;101015;176515;258167;21996;443258;223345;829208;77662
2005;403231;10692;36689;643304;169099;83603;175955;290202;25602;128426;48400;230865;109420;28922;24321;296993;52535;172710;102332;171207;254706;22640;445720;216524;817571;77821
2004;396519;10484;36415;638530;168485;82111;172775;287961;25416;125609;47858;227375;109119;28826;24422;294559;51987;169284;100522;169378;250967;22658;443028;211939;796744;75626
2003;389112;10237;35868;629495;166511;82125;168968;284448;25000;124022;47141;222920;107821;28105;24141;288820;51270;167003;98000;166693;246329;22479;434949;208282;780891;74288
2002;380699;10039;35304;606774;163677;81126;165421;280168;24487;122007;46263;220012;106938;27731;23582;283072;50255;163715;95765;162995;245002;22036;426687;203175;771270;72612
2001;372143;9801;34739;591713;160186;81031;161132;275088;23817;119925;45729;214793;105191;27059;22927;275800;49022;159749;92742;159253;240997;21540;419338;197764;756328;70533
2000;362575;9520;34214;576322;156192;79693;156608;267668;23272;117944;44802;208608;103670;26121;22259;268001;47835;155546;89253;154928;235146;21081;409159;192349;735432;67936
1999;352860;9225;33563;560838;152198;79379;152743;259134;22948;116077;44441;203115;101650;25226;21804;261235;46674;151574;86587;150491;229594;21203;398005;188210;717603;65292
1998;342431;8932;32270;545819;148001;78293;148195;254152;22543;113594;43108;197611;100032;24271;20769;253999;45568;147408;83478;145949;223836;19989;384875;182899;700345;62709
1997;334310;8689;31943;533701;144024;77807;145061;249709;22342;111769;42235;193466;98819;24033;20238;248171;44682;143297;81271;143327;218311;19760;376132;177961;684444;60277
1996;327208;7472;27846;523377;140971;77906;141688;246011;19857;110975;41108;190170;97928;20922;17541;244213;44625;140880;79158;140709;213995;16990;368452;174669;674860;58381
1995;320785;8212;31147;525367;138854;78054;138534;242043;21911;109105;40316;186535;95474;22216;19163;239380;43227;138379;77432;138252;210355;18887;362548;170280;663519;56365
1994;314108;8070;30805;512686;136236;77806;135316;238083;21273;106474;39714;182860;93854;21705;18469;233045;42665;134803;74910;134845;205648;18464;356703;167153;649071;54896
1993;306964;8043;30185;516332;124447;77799;131945;234966;20835;104099;38986;178953;93052;21307;17927;227119;42166;132339;72643;130468;200840;18037;351189;164024;641570;53488
1992;302702;7868;29534;514582;122728;78006;129844;235909;20667;102286;38929;175712;93038;20832;17566;224256;41800;133784;70515;127860;197466;17750;350904;162514;641041;52041
1991;296981;7789;29155;507563;121461;77615;126638;235871;20431;100225;38672;171882;93485;20521;17152;219832;41398;131675;69234;124462;191932;17647;348712;158902;635752;51417
1990;288512;7408;27648;496243;119081;76410;122914;231711;19454;97153;37599;166861;91373;19457;16256;213201;39709;124881;66580;120474;186913;17024;340275;151967;625442;49271
1985;245302;6424;23172;429631;105863;70531;99654;212522;16560;82333;32366;142563;77993;16272;13323;178245;34541;103804;52043;99878;155387;14415;282535;125427;543717;39927
1980;198819;5115;19202;368344;91469;66388;79453;177510;13835;68956;27984;115543;68912;12608;10629;135543;29540;89585;40325;81291;134258;12048;230119;96581;482511;31633
1975;151511;3724;14822;301996;74853;62563;60540;144694;10604;52357;-1;87925;57299;9113;7752;107496;23785;70217;29887;61571;105702;8704;180239;69638;388551;24044
1970;115261;2621;11459;246688;56014;61436;42490;129639;7885;35995;-1;66510;48085;6321;5165;85142;18593;52925;20708;45111;77218;6434;140213;46824;312969;17235
